Ano;Codigo;Unidade;Diretoria;Praca;Conta;ContaNiveisSuperiores;ContaDescricao;ContaTipo;ContaEstatisticaFiscal;EstatisticaFiscalContaOrdem;ContaGrupo;GrupoContaOrdem;ContaSubgrupo;SubgrupoContaOrdem;ContaFuncao;ValorDotacao;ValorEmpenhado;ValorLiquidado;ValorPago
2024;683910012;MECIR;DIRAD;68 PORTO ALEGRE-RS;393903041;"DISTRIBUIÇÃO DE NUMERÁRIO
CONTAS DE RESULTADO - DESPESAS
OUTRAS DESPESAS
DESPESAS DO MEIO CIRCULANTE";393903041 - RECEBIMENTO DE REMESSA E MOVIMENTAÇÃO DE NUMERÁRIO;Despesa;Primário;2;Meio Circulante;5;Distribuição de numerário;7;"Registra as despesas decorrentes do recebimento de remessa e movimentação de numerário, tais como: I) contratação de empresa transportadora e de mão-de-obra; II) manutenção de rádio-comunicadores utilizados nesses serviços; III) pedágios e multas; IV) guarda e manutenção de veículos utilizados nas operações exclusivas de meio circulante; V) transporte internacional de moedas comemorativas.  As despesas com a mão-de-obra (carregadores) permanente são registradas na conta 3939.02.02-8.";38090.77;38090.77;38090.77;38090.77
2024;402510019;DEPIN;DIPOM;40 BRASILIA-DF;3359019;"DESPESAS DE CORREÇÃO CAMBIAL SOBRE ATIVOS E PASSIVOS EM MOEDAS ESTRANGEIRAS
DESPESAS DE CORREÇÃO CAMBIAL SOBRE OUTROS PASSIVOS EM MOEDAS ESTRANGEIRAS
CONTAS DE RESULTADO - DESPESAS";3359019 - ORCAMENTO DE AUTORIDADE MONETARIA - PRIMARIAS;Despesa;Primário;2;Área Externa;1;Correção cambial;3;;777039.66;777039.66;777039.66;777039.66
2024;402510019;DEPIN;DIPOM;40 BRASILIA-DF;3985029;"DESPESAS COM ADMINISTRAÇÃO DE       ATIVOS POR TERCEIROS
CONTAS DE RESULTADO - DESPESAS
OUTRAS DESPESAS";3985029 - TAXA DE SERVIÇOS DE CUSTÓDIA DE     ATIVOS FINANCEIROS EM MOEDAS        ESTRANGEIRAS;Despesa;Primário;2;Área Externa;1;Demais despesas;5;;10633000.0;10632490.0;8098646.19;8098646.19
2024;402510019;DEPIN;DIPOM;40 BRASILIA-DF;399025026;"ÁREA DE OPERAÇÕES DAS RESERVAS INTERNACIONAIS
DESPESAS DIVERSAS
CONTAS DE RESULTADO - DESPESAS
OUTRAS DESPESAS";399025026 - SERVIÇOS DE MANUTENÇÃO DE CONTA MOVIMENTO NO EXTERIOR;Despesa;Primário;2;Área Externa;1;Demais despesas;5;;503000.0;494938.0;228709.46;228709.46
2024;402510019;DEPIN;DIPOM;40 BRASILIA-DF;399025040;"ÁREA DE OPERAÇÕES DAS RESERVAS INTERNACIONAIS
DESPESAS DIVERSAS
CONTAS DE RESULTADO - DESPESAS
OUTRAS DESPESAS";399025040 - PROCESSAMENTO, TRANSPORTE E CUSTÓDIA DE OURO E OUTROS METAIS PRECIOSOS NO MERCADO EXTERNO;Despesa;Primário;2;Área Externa;1;Demais despesas;5;Registra as despesas no exterior com o ouro das reservas oficiais e outros metais preciosos, tais como: seguro, frete, fundição, análise, refino e custódia.;1150000.0;1073000.0;1049382.38;1049382.38
2024;402510019;DEPIN;DIPOM;40 BRASILIA-DF;399025064;"ÁREA DE OPERAÇÕES DAS RESERVAS INTERNACIONAIS
DESPESAS DIVERSAS
CONTAS DE RESULTADO - DESPESAS
OUTRAS DESPESAS";399025064 - DESPESAS ACESSÓRIAS NAS OPERAÇÕES COM FUTUROS;Despesa;Primário;2;Área Externa;1;Demais despesas;5;;13140000.0;2821330.0;679413.34;679413.34
2024;402510019;DEPIN;DIPOM;40 BRASILIA-DF;399025923;"ÁREA DE OPERAÇÕES DAS RESERVAS INTERNACIONAIS
DESPESAS DIVERSAS
CONTAS DE RESULTADO - DESPESAS
OUTRAS DESPESAS";399025923 - OUTRAS - NO EXTERIOR - PRIMÁRIAS;Despesa;Primário;2;Área Externa;1;Demais despesas;5;;26000.0;11310.0;1496.42;1496.42
2024;402910011;DERIN;DIREX;40 BRASILIA-DF;399029053;"ÁREA DE ORGANISMOS E ACORDOS INTERNACIONAIS
DESPESAS DIVERSAS
CONTAS DE RESULTADO - DESPESAS
OUTRAS DESPESAS";399029053 - TAXA DE ADMINISTRAÇÃO PELA ALOCAÇÃO DE DES PELO FMI;Despesa;Primário;2;Área Externa;1;Demais despesas;5;;1007005.65;710000.0;700367.6;700367.6
2024;402510019;DEPIN;DIPOM;40 BRASILIA-DF;398504029;"DESPESAS COM ADMINISTRAÇÃO DE       ATIVOS POR TERCEIROS
DESPESAS COM A ADMINISTRAÇÃO        EXTERNA DE RECURSOS EM MOEDAS       ESTRANGEIRAS
CONTAS DE RESULTADO - DESPESAS
OUTRAS DESPESAS";398504029 - RECURSOS APLICADOS EM FUNDO DE      INVESTIMENTOS ADMINISTRADO PELO BIS;Despesa;Primário;2;Área Externa;1;Demais despesas;5;;18292999.0;17836558.0;15624346.97;15624346.97
2024;402510019;DEPIN;DIPOM;40 BRASILIA-DF;399025019;"ÁREA DE OPERAÇÕES DAS RESERVAS INTERNACIONAIS
DESPESAS DIVERSAS
CONTAS DE RESULTADO - DESPESAS
OUTRAS DESPESAS";399025019 - CONVERSÃO DE CÂMBIO MANUAL EM CÂMBIO SACADO;Despesa;Primário;2;Área Externa;1;Demais despesas;5;;1690001.0;1690000.01;1374880.92;1374880.92
